NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
SEEMANN,Marie-Christine,Mme,EXG,Extrême gauche,367,"   0,72","   0,42",non,02604,0.72,0.42
COUTARD,Catherine,Mme,DVG,Divers gauche,12548,"  24,61","  14,65",Bal.,02604,24.61,14.65
ABEL,Jean-David,M.,VEC,Les Verts,2089,"   4,10","   2,43",non,02604,4.1,2.43
ESTIVANT,Claude,Mme,EXD,Extrême droite,287,"   0,56","   0,33",non,02604,0.56,0.33
PETIET,Louis,M.,DVD,Divers droite,6595,"  13,66","   7,91",non,02701,13.66,7.91
OGER,Andrée,Mme,COM,Communiste,3799,"   7,87","   4,55",non,02701,7.87,4.55
ORDONEZ,Marie-France,Mme,EXG,Extrême gauche,1394,"   2,89","   1,67",non,02701,2.89,1.67
QUIRINS,Jacques,M.,EXD,Extrême droite,277,"   0,57","   0,33",non,02701,0.57,0.33
MASNE,Madeleine,Mme,FN,Front national,2266,"   4,69","   2,71",non,02701,4.69,2.71
HERVIEU,Joël,M.,UDFD,UDF-Mouvement Démocrate,3565,"   7,38","   4,27",non,02701,7.38,4.27
LE MAIRE,Bruno,M.,UMP,Union pour un Mouvement Populaire,18114,"  37,51","  21,73",Bal.,02701,37.51,21.73
GONTIER,Yoann,M.,ECO,Ecologiste,490,"   1,01","   0,58",non,02701,1.01,0.58
FIHEY,Jacqueline,Mme,VEC,Les Verts,1355,"   2,81","   1,62",non,02701,2.81,1.62
ROETHLISBERGER,Corinne,Mme,EXG,Extrême gauche,582,"   1,21","   0,69",non,02701,1.21,0.69
CANIVENC,Pascale,Mme,DIV,Divers,281,"   0,58","   0,33",non,02701,0.58,0.33
DARRY,Monique,Mme,CPNT,Chasse Pêche Nature Traditions,590,"   1,22","   0,70",non,02701,1.22,0.7
HURDEBOURCQ,Cathy,Mme,MPF,Mouvement pour la France,441,"   0,91","   0,52",non,02701,0.91,0.52
MANSOURET,Anne,Mme,SOC,Socialiste,8540,"  17,69","  10,24",Bal.,02701,17.69,10.24
MATHIERE,Phillippe,M.,MPF,Mouvement pour la France,794,"   1,75","   1,06",non,02702,1.75,1.06
CAMOIN,Emmanuel,M.,FN,Front national,1999,"   4,40","   2,67",non,02702,4.4,2.67
BIGAUD,Sylvain,M.,VEC,Les Verts,1232,"   2,71","   1,64",non,02702,2.71,1.64
DUPONT,Yves,M.,EXD,Extrême droite,429,"   0,94","   0,57",non,02702,0.94,0.57
PASADOVIC,Sébastien,M.,EXG,Extrême gauche,375,"   0,83","   0,50",non,02702,0.83,0.5
RECOURS,Alfred,M.,SOC,Socialiste,12254,"  26,99","  16,40",Bal.,02702,26.99,16.4
LEWI,Rosine,Mme,EXG,Extrême gauche,389,"   0,86","   0,52",non,02702,0.86,0.52
OZANNE,Sophie,Mme,EXG,Extrême gauche,1259,"   2,77","   1,68",non,02702,2.77,1.68
BEURIOT,Valéry,M.,COM,Communiste,1432,"   3,15","   1,91",non,02702,3.15,1.91
LELOUTRE,Jean-Pierre,M.,DIV,Divers,300,"   0,66","   0,40",non,02702,0.66,0.4
VOLLAIS,Corinne,Mme,CPNT,Chasse Pêche Nature Traditions,659,"   1,45","   0,88",non,02702,1.45,0.88
GERBE,Corinne,Mme,ECO,Ecologiste,519,"   1,14","   0,69",non,02702,1.14,0.69
GUITTON,Denis,M.,UDFD,UDF-Mouvement Démocrate,3897,"   8,58","   5,21",non,02702,8.58,5.21
NICOLAS,Jean-Pierre,M.,UMP,Union pour un Mouvement Populaire,19860,"  43,75","  26,58",Bal.,02702,43.75,26.58
LOUVION,Régis,M.,VEC,Les Verts,920,"   1,90","   1,17",non,02703,1.9,1.17
REP,Charles,M.,EXD,Extrême droite,251,"   0,52","   0,32",non,02703,0.52,0.32
MORIN,Corinne,Mme,COM,Communiste,1533,"   3,17","   1,95",non,02703,3.17,1.95
PICHON,Philippe,M.,EXG,Extrême gauche,494,"   1,02","   0,63",non,02703,1.02,0.63
MARTIN,Thierry,M.,EXG,Extrême gauche,1245,"   2,57","   1,59",non,02703,2.57,1.59
COUREL,Francis,M.,SOC,Socialiste,7779,"  16,07","   9,94",non,02703,16.07,9.94
LE TANNEUR,Marc,M.,FN,Front national,1923,"   3,97","   2,45",non,02703,3.97,2.45
CARVALHO,Christiane,Mme,CPNT,Chasse Pêche Nature Traditions,1207,"   2,49","   1,54",non,02703,2.49,1.54
BRANCHU,Robin,M.,DIV,Divers,258,"   0,53","   0,32",non,02703,0.53,0.32
MORIN,Hervé,M.,MAJ,Majorité présidentielle,24235,"  50,05","  30,97",oui,02703,50.05,30.97
POIRIER,Christelle,Mme,MPF,Mouvement pour la France,564,"   1,16","   0,72",non,02703,1.16,0.72
BLAMPIED,Carole,Mme,ECO,Ecologiste,399,"   0,82","   0,51",non,02703,0.82,0.51
RAVIART,Philippe,M.,UDFD,UDF-Mouvement Démocrate,2617,"   5,40","   3,34",non,02703,5.4,3.34
ZANON,Nathalie,Mme,SOC,Socialiste,4997,"  10,32","   6,38",non,02703,10.32,6.38
LARDANS,Sonia,Mme,FN,Front national,2442,"   4,92","   2,92",non,02704,4.92,2.92
LEVITRE,Gaëtan,M.,COM,Communiste,2436,"   4,91","   2,91",non,02704,4.91,2.91
GUERINET,Isabelle,Mme,EXD,Extrême droite,334,"   0,67","   0,40",non,02704,0.67,0.4
BOURLET DE LA VALLEE,Jérôme,M.,VEC,Les Verts,1476,"   2,97","   1,76",non,02704,2.97,1.76
MIQUEL,Françoise,Mme,UMP,Union pour un Mouvement Populaire,12047,"  24,27","  14,43",Bal.,02704,24.27,14.43
JOLY,Vincent,M.,DIV,Divers,280,"   0,56","   0,33",non,02704,0.56,0.33
LEROY,Bernard,M.,MAJ,Majorité présidentielle,9278,"  18,69","  11,11",non,02704,18.69,11.11
BAZIRE,Gaëtan,M.,ECO,Ecologiste,503,"   1,01","   0,60",non,02704,1.01,0.6
SOLAL,Christophe,M.,EXG,Extrême gauche,356,"   0,72","   0,42",non,02704,0.72,0.42
PREVOST,Gérard,M.,EXG,Extrême gauche,1529,"   3,08","   1,83",non,02704,3.08,1.83
MARTIN,Franck,M.,RDG,Radical de gauche,2285,"   4,60","   2,73",non,02704,4.6,2.73
FRAU,Bernard,M.,UDFD,UDF-Mouvement Démocrate,2094,"   4,22","   2,50",non,02704,4.22,2.5
BARLOY,Chantal,Mme,MPF,Mouvement pour la France,485,"   0,98","   0,58",non,02704,0.98,0.58
LEMOINE,Gisèle,Mme,CPNT,Chasse Pêche Nature Traditions,515,"   1,04","   0,61",non,02704,1.04,0.61
LONCLE,François,M.,SOC,Socialiste,13576,"  27,35","  16,26",Bal.,02704,27.35,16.26
GILARD,Franck,M.,UMP,Union pour un Mouvement Populaire,21766,"  43,28","  25,60",Bal.,02705,43.28,25.6
LARMANOU,Marcel,M.,COM,Communiste,4304,"   8,56","   5,06",non,02705,8.56,5.06
TOUCHAGUES,Bernard,M.,FN,Front national,3778,"   7,51","   4,44",non,02705,7.51,4.44
GIBERT,Catherine,Mme,MPF,Mouvement pour la France,818,"   1,63","   0,96",non,02705,1.63,0.96
JULLIEN-MITSIENO,Véronique,Mme,VEC,Les Verts,1094,"   2,18","   1,28",non,02705,2.18,1.28
BOURGEOIS,Claude,M.,EXG,Extrême gauche,1043,"   2,07","   1,22",non,02705,2.07,1.22
PICARD,Catherine,Mme,SOC,Socialiste,11599,"  23,06","  13,64",Bal.,02705,23.06,13.64
PARENT,Patrice,M.,EXG,Extrême gauche,416,"   0,83","   0,48",non,02705,0.83,0.48
CAUCHOIX,Nelly,Mme,EXD,Extrême droite,315,"   0,63","   0,37",non,02705,0.63,0.37
FONTAINE,Joëlle,Mme,ECO,Ecologiste,521,"   1,04","   0,61",non,02705,1.04,0.61
LANGLOIS,Franck,M.,UDFD,UDF-Mouvement Démocrate,3714,"   7,38","   4,36",non,02705,7.38,4.36
TARTE,Didier,M.,DIV,Divers,346,"   0,69","   0,40",non,02705,0.69,0.4
OLIVIER,Annick,Mme,CPNT,Chasse Pêche Nature Traditions,579,"   1,15","   0,68",non,02705,1.15,0.68
EPINEAU,Claude,M.,VEC,Les Verts,1885,"   3,73","   2,20",non,02801,3.73,2.2
GEOLLOT,Lionel,M.,COM,Communiste,989,"   1,96","   1,15",non,02801,1.96,1.15
GORGES,Jean-Pierre,M.,UMP,Union pour un Mouvement Populaire,20596,"  40,73","  24,14",Bal.,02801,40.73,24.14
AUBERT,Marie-José,Mme,EXG,Extrême gauche,592,"   1,17","   0,69",non,02801,1.17,0.69
CHEVEE,Eric,M.,UDFD,UDF-Mouvement Démocrate,9193,"  18,18","  10,77",non,02801,18.18,10.77
DELVALLEE,Gabrielle,Mme,FN,Front national,2657,"   5,25","   3,11",non,02801,5.25,3.11
DAMERON,Mathieu,M.,EXG,Extrême gauche,1251,"   2,47","   1,46",non,02801,2.47,1.46
VALLET,Françoise,Mme,SOC,Socialiste,12632,"  24,98","  14,80",Bal.,02801,24.98,14.8
GARREYN,Kathy,Mme,CPNT,Chasse Pêche Nature Traditions,775,"   1,53","   0,90",non,02801,1.53,0.9
HESSEL,Birgitta,Mme,SOC,Socialiste,8472,"  21,50","  12,08",Bal.,02802,21.5,12.08
HAMEL,Gérard,M.,UMP,Union pour un Mouvement Populaire,18662,"  47,37","  26,61",Bal.,02802,47.37,26.61
DAUTREME,Jacques,M.,FN,Front national,3061,"   7,77","   4,36",non,02802,7.77,4.36
RIGOURD,Jocelyne,Mme,MPF,Mouvement pour la France,797,"   2,02","   1,13",non,02802,2.02,1.13
CHEVROLLIER,Vincent,M.,EXG,Extrême gauche,404,"   1,03","   0,57",non,02802,1.03,0.57
JAFFRENOU,Béatrice,Mme,EXG,Extrême gauche,356,"   0,90","   0,50",non,02802,0.9,0.5
QUERITE,Gisèle,Mme,COM,Communiste,788,"   2,00","   1,12",non,02802,2.0,1.12
GABORIAU,Jean-Pierre,M.,UDFD,UDF-Mouvement Démocrate,4118,"  10,45","   5,87",non,02802,10.45,5.87
GALVIN,Martine,Mme,EXG,Extrême gauche,827,"   2,10","   1,17",non,02802,2.1,1.17
DUTHU,Françoise,Mme,VEC,Les Verts,1277,"   3,24","   1,82",non,02802,3.24,1.82
GENET,Véronique,Mme,CPNT,Chasse Pêche Nature Traditions,637,"   1,62","   0,90",non,02802,1.62,0.9
HUWART,François,M.,RDG,Radical de gauche,12470,"  29,91","  17,49",Bal.,02803,29.91,17.49
HOGUET,Patrick,M.,DVD,Divers droite,4797,"  11,51","   6,73",non,02803,11.51,6.73
de LA RAUDIERE,Laure,Mme,UMP,Union pour un Mouvement Populaire,14579,"  34,97","  20,45",Bal.,02803,34.97,20.45
DEBALLON,Hugues,M.,MPF,Mouvement pour la France,593,"   1,42","   0,83",non,02803,1.42,0.83
LOISEAU,Philippe,M.,FN,Front national,3000,"   7,20","   4,20",non,02803,7.2,4.2
GODDE,Anne-Catherine,Mme,EXG,Extrême gauche,552,"   1,32","   0,77",non,02803,1.32,0.77
LAANAYA,Karim,M.,VEC,Les Verts,1125,"   2,70","   1,57",non,02803,2.7,1.57
EMMANUEL,Pascal,M.,COM,Communiste,666,"   1,60","   0,93",non,02803,1.6,0.93
MAS,Nicole,Mme,EXG,Extrême gauche,316,"   0,76","   0,44",non,02803,0.76,0.44
DIVEKI,Isabelle,Mme,UDFD,UDF-Mouvement Démocrate,2309,"   5,54","   3,23",non,02803,5.54,3.23
RIBEIRO,Françoise,Mme,CPNT,Chasse Pêche Nature Traditions,527,"   1,26","   0,73",non,02803,1.26,0.73
MOURAD,Stéphane,M.,EXG,Extrême gauche,756,"   1,81","   1,06",non,02803,1.81,1.06
GARCETTE,Marie-France,Mme,FN,Front national,2342,"   5,59","   3,44",non,02804,5.59,3.44
CHAIZE,Miren,Mme,EXG,Extrême gauche,554,"   1,32","   0,81",non,02804,1.32,0.81
FAUVE,Serge,M.,SOC,Socialiste,9467,"  22,61","  13,94",non,02804,22.61,13.94
JOUACHIM,Bernadette,Mme,MPF,Mouvement pour la France,964,"   2,30","   1,41",non,02804,2.3,1.41
GARCIA,Dominique,Mme,COM,Communiste,1356,"   3,24","   1,99",non,02804,3.24,1.99
VIGIER,Philippe,M.,MAJ,Majorité présidentielle,23918,"  57,12","  35,22",oui,02804,57.12,35.22
AUROI,Danielle,Mme,VEC,Les Verts,1298,"   3,10","   1,91",non,02804,3.1,1.91
GUILLET-BRIAND,Jessica,Mme,CPNT,Chasse Pêche Nature Traditions,879,"   2,10","   1,29",non,02804,2.1,1.29
BOUYSSOU,Alice,Mme,EXG,Extrême gauche,1096,"   2,62","   1,61",non,02804,2.62,1.61
RAMONET,Marcelle,Mme,UMP,Union pour un Mouvement Populaire,23200,"  40,94","  27,38",Bal.,02901,40.94,27.38
LE BAL,Isabelle,Mme,UDFD,UDF-Mouvement Démocrate,5567,"   9,82","   6,57",non,02901,9.82,6.57
RAINERO,Yvonne,Mme,COM,Communiste,1304,"   2,30","   1,53",non,02901,2.3,1.53
LE BIGOT,Daniel,M.,VEC,Les Verts,5735,"  10,12","   6,76",non,02901,10.12,6.76
CARRASCO,Janine,Mme,EXG,Extrême gauche,1592,"   2,81","   1,87",non,02901,2.81,1.87
ROUSSEAU,Alain- Pierre,M.,MPF,Mouvement pour la France,438,"   0,77","   0,51",non,02901,0.77,0.51
HARDY,Serge,M.,EXG,Extrême gauche,325,"   0,57","   0,38",non,02901,0.57,0.38
DEGHILAGE,Xavier,M.,FN,Front national,987,"   1,74","   1,16",non,02901,1.74,1.16
URVOAS,Jean Jacques,M.,SOC,Socialiste,16922,"  29,86","  19,97",Bal.,02901,29.86,19.97
MARZIN,Didier,M.,EXD,Extrême droite,165,"   0,29","   0,19",non,02901,0.29,0.19
MESSAOUDI,Gilles,M.,DIV,Divers,430,"   0,76","   0,50",non,02901,0.76,0.5
LE NEDELLEC,Frédérique,Mme,REG,Régionaliste,531,"   1,25","   0,74",non,02902,1.25,0.74
PAGES,Yves,M.,UDFD,UDF-Mouvement Démocrate,4633,"  10,88","   6,50",non,02902,10.88,6.5
ADAM,Patricia,Mme,SOC,Socialiste,15653,"  36,77","  21,97",Bal.,02902,36.77,21.97
CALVEZ,Roger,M.,EXG,Extrême gauche,132,"   0,31","   0,18",non,02902,0.31,0.18
CHERBLANC,André,M.,EXG,Extrême gauche,178,"   0,42","   0,24",non,02902,0.42,0.24
GARCON,André,M.,EXG,Extrême gauche,1121,"   2,63","   1,57",non,02902,2.63,1.57
APPERE,Patrick,M.,EXG,Extrême gauche,1438,"   3,38","   2,01",non,02902,3.38,2.01
FABRE,Madeleine,Mme,FN,Front national,808,"   1,90","   1,13",non,02902,1.9,1.13
ABILY,Gaëlle,Mme,COM,Communiste,1060,"   2,49","   1,48",non,02902,2.49,1.48
LOUSSOUARN,Marif,Mme,VEC,Les Verts,1324,"   3,11","   1,85",non,02902,3.11,1.85
LE BORGNE,Jean Yves,M.,UMP,Union pour un Mouvement Populaire,14710,"  34,56","  20,65",Bal.,02902,34.56,20.65
ASCOET,Stéphane,M.,ECO,Ecologiste,408,"   0,96","   0,57",non,02902,0.96,0.57
BRETAUD,Sandrine,Mme,MPF,Mouvement pour la France,573,"   1,35","   0,80",non,02902,1.35,0.8
AUGEREAU,Jean,M.,VEC,Les Verts,2449,"   4,15","   2,64",non,02903,4.15,2.64
CUILLANDRE,François,M.,SOC,Socialiste,19102,"  32,38","  20,64",Bal.,02903,32.38,20.64
PIRO,Jacques,M.,EXG,Extrême gauche,386,"   0,65","   0,41",non,02903,0.65,0.41
QUELENNEC,Erwan,M.,EXG,Extrême gauche,1616,"   2,74","   1,74",non,02903,2.74,1.74
COUTURIER,Catherine,Mme,EXG,Extrême gauche,936,"   1,59","   1,01",non,02903,1.59,1.01
DUBREULE,Murielle,Mme,COM,Communiste,691,"   1,17","   0,74",non,02903,1.17,0.74
LAMOUR,Marguerite,Mme,UMP,Union pour un Mouvement Populaire,25189,"  42,70","  27,22",Bal.,02903,42.7,27.22
MERER,Laurent,M.,UDFD,UDF-Mouvement Démocrate,6827,"  11,57","   7,37",non,02903,11.57,7.37
REMOND,Véronique,Mme,FN,Front national,1141,"   1,93","   1,23",non,02903,1.93,1.23
MEVEL,Sophie,Mme,MPF,Mouvement pour la France,650,"   1,10","   0,70",non,02903,1.1,0.7
LEBRANCHU,Marylise,Mme,SOC,Socialiste,21494,"  40,16","  26,09",Bal.,02904,40.16,26.09
GENTRIC,Anne- Marie,Mme,EXG,Extrême gauche,1373,"   2,57","   1,66",non,02904,2.57,1.66
ROUDAUT,Alice,Mme,EXG,Extrême gauche,453,"   0,85","   0,54",non,02904,0.85,0.54
REMACLE,Francine,Mme,FN,Front national,932,"   1,74","   1,13",non,02904,1.74,1.13
CAROFF,Gilles,M.,UMP,Union pour un Mouvement Populaire,19428,"  36,30","  23,58",Bal.,02904,36.3,23.58
BOURVEN,François,M.,COM,Communiste,1220,"   2,28","   1,48",non,02904,2.28,1.48
PRIGENT-GUIZIOU,Christine,Mme,VEC,Les Verts,2059,"   3,85","   2,49",non,02904,3.85,2.49
ROGARD,Yvon,M.,MPF,Mouvement pour la France,564,"   1,05","   0,68",non,02904,1.05,0.68
JONCOUR,Jocelyn,M.,UDFD,UDF-Mouvement Démocrate,5021,"   9,38","   6,09",non,02904,9.38,6.09
METAYER,Stéphane,M.,ECO,Ecologiste,585,"   1,09","   0,71",non,02904,1.09,0.71
PLOUGONVEN,Jean -Hugues,M.,DIV,Divers,388,"   0,73","   0,47",non,02904,0.73,0.47
KEROAS,Jean- Marie,M.,MPF,Mouvement pour la France,692,"   1,21","   0,77",non,02905,1.21,0.77
GUITTET,Chantal,Mme,SOC,Socialiste,16026,"  28,09","  18,04",Bal.,02905,28.09,18.04
MORUCCI,Emmanuel,M.,UDFD,UDF-Mouvement Démocrate,5026,"   8,81","   5,66",non,02905,8.81,5.66
CHAUVEAU,Françoise,Mme,EXG,Extrême gauche,556,"   0,97","   0,62",non,02905,0.97,0.62
WINCKLER,Christophe,M.,VEC,Les Verts,2572,"   4,51","   2,89",non,02905,4.51,2.89
LE GUEN,Jacques,M.,UMP,Union pour un Mouvement Populaire,28002,"  49,08","  31,53",Bal.,02905,49.08,31.53
FABRE,Alain,M.,FN,Front national,1013,"   1,78","   1,14",non,02905,1.78,1.14
CHEVALIER,Jean,M.,COM,Communiste,1005,"   1,76","   1,13",non,02905,1.76,1.13
HERVE,Yannick,M.,EXG,Extrême gauche,2164,"   3,79","   2,43",non,02905,3.79,2.43
FERRAND,Richard,M.,SOC,Socialiste,15050,"  25,26","  16,96",Bal.,02906,25.26,16.96
QUEINNEC,Jean- Yves,M.,DIV,Divers,522,"   0,88","   0,58",non,02906,0.88,0.58
GUILLOU- PIRO,Elisabeth,Mme,EXG,Extrême gauche,390,"   0,65","   0,43",non,02906,0.65,0.43
MENARD,Christian,M.,UMP,Union pour un Mouvement Populaire,24659,"  41,39","  27,79",Bal.,02906,41.39,27.79
HAAS,Marie Anne,Mme,FN,Front national,1173,"   1,97","   1,32",non,02906,1.97,1.32
GUILLEMOT,Matthieu,M.,EXG,Extrême gauche,2208,"   3,71","   2,48",non,02906,3.71,2.48
MILLIAU,Philippe,M.,EXD,Extrême droite,190,"   0,32","   0,21",non,02906,0.32,0.21
DONNARDIEU,Elisabeth,Mme,MPF,Mouvement pour la France,478,"   0,80","   0,53",non,02906,0.8,0.53
LE MOAN,Catherine,Mme,UDFD,UDF-Mouvement Démocrate,5224,"   8,77","   5,88",non,02906,8.77,5.88
NICOLE,Corinne,Mme,COM,Communiste,1081,"   1,81","   1,21",non,02906,1.81,1.21
TROADEC,Christian,M.,DVG,Divers gauche,7393,"  12,41","   8,33",non,02906,12.41,8.33
LEMOINE,Danielle,Mme,ECO,Ecologiste,1216,"   2,04","   1,37",non,02906,2.04,1.37
GUIRRIEC,Louis,M.,COM,Communiste,2224,"   4,20","   2,80",non,02907,4.2,2.8
TANGUY,Hélène,Mme,UMP,Union pour un Mouvement Populaire,19242,"  36,33","  24,26",Bal.,02907,36.33,24.26
HASCOET,Elisabeth,Mme,VEC,Les Verts,2158,"   4,07","   2,72",non,02907,4.07,2.72
JOUANNO,René Jean,M.,DIV,Divers,433,"   0,82","   0,54",non,02907,0.82,0.54
DEFRANCE,Serge,M.,EXG,Extrême gauche,506,"   0,96","   0,63",non,02907,0.96,0.63
HAAS,Renan,M.,FN,Front national,1051,"   1,98","   1,32",non,02907,1.98,1.32
LE LOCH,Annick,Mme,SOC,Socialiste,17020,"  32,13","  21,46",Bal.,02907,32.13,21.46
CANEVET,Michel,M.,UDFD,UDF-Mouvement Démocrate,10333,"  19,51","  13,03",Bal.,02907,19.51,13.03
FLEGEO,Guy,M.,DIV,Divers,968,"   1,83","   1,18",non,02908,1.83,1.18
LE DANVIC,Fabrice,M.,EXG,Extrême gauche,1671,"   3,15","   2,03",non,02908,3.15,2.03
CHAUFFIN,Fanny,Mme,VEC,Les Verts,1578,"   2,98","   1,92",non,02908,2.98,1.92
BLANCHE,Georges,M.,FN,Front national,1322,"   2,49","   1,61",non,02908,2.49,1.61
LE BOUR,Eric,M.,EXG,Extrême gauche,2774,"   5,23","   3,38",non,02908,5.23,3.38
TANGUY GALLEN,Catherine,Mme,UDFD,UDF-Mouvement Démocrate,3966,"   7,48","   4,83",non,02908,7.48,4.83
TRICHE,Jeanne Yvonne,Mme,UMP,Union pour un Mouvement Populaire,18097,"  34,14","  22,06",Bal.,02908,34.14,22.06
COATEVAL,Annick,Mme,EXG,Extrême gauche,404,"   0,76","   0,49",non,02908,0.76,0.49
GOURMELEN,Louis- Daniel,M.,COM,Communiste,419,"   0,79","   0,51",non,02908,0.79,0.51
TANAVELLE,Solange,Mme,MPF,Mouvement pour la France,1002,"   1,89","   1,22",non,02908,1.89,1.22
LE BRIS,Gilbert,M.,SOC,Socialiste,18883,"  35,62","  23,02",Bal.,02908,35.62,23.02
LE BRIS,Gérard,M.,CPNT,Chasse Pêche Nature Traditions,936,"   1,77","   1,14",non,02908,1.77,1.14
DUFLEIT,Rolland,M.,ECO,Ecologiste,995,"   1,88","   1,21",non,02908,1.88,1.21
LACHAUD,Yvan,M.,MAJ,Majorité présidentielle,20891,"  44,79","  25,12",Bal.,03001,44.79,25.12
RUTY,Evelyne,Mme,FN,Front national,3058,"   6,56","   3,67",non,03001,6.56,3.67
PIGEONNEAU,Georges,M.,DVD,Divers droite,129,"   0,28","   0,15",non,03001,0.28,0.15
CLARY,Alain,M.,COM,Communiste,6902,"  14,80","   8,30",non,03001,14.8,8.3
DUMAS,Françoise,Mme,SOC,Socialiste,8324,"  17,85","  10,01",Bal.,03001,17.85,10.01
TAULELLE,Marc,M.,MPF,Mouvement pour la France,816,"   1,75","   0,98",non,03001,1.75,0.98
DUMAS,Roselyne,Mme,DIV,Divers,318,"   0,68","   0,38",non,03001,0.68,0.38
SERVILE,Michel,M.,EXD,Extrême droite,279,"   0,60","   0,33",non,03001,0.6,0.33
TERBECHE,Aïcha,Mme,EXG,Extrême gauche,146,"   0,31","   0,17",non,03001,0.31,0.17
FOURCADE,Fabienne,Mme,EXG,Extrême gauche,133,"   0,29","   0,15",non,03001,0.29,0.15
COILLET MATILLON,Lysiane,Mme,ECO,Ecologiste,490,"   1,05","   0,58",non,03001,1.05,0.58
DUPLISSY,Claudine,Mme,EXG,Extrême gauche,784,"   1,68","   0,94",non,03001,1.68,0.94
RODRIGUEZ,Tina,Mme,EXG,Extrême gauche,292,"   0,63","   0,35",non,03001,0.63,0.35
KARRIM,Ali,M.,VEC,Les Verts,977,"   2,09","   1,17",non,03001,2.09,1.17
CASAS,Simon,M.,DVD,Divers droite,2078,"   4,45","   2,49",non,03001,4.45,2.49
CHAYNE,Gérard,M.,DIV,Divers,1028,"   2,20","   1,23",non,03001,2.2,1.23
MICLOT,Jean,M.,FN,Front national,5480,"   8,29","   4,78",non,03002,8.29,4.78
BOCCADIFFUOCCO,Sylvia,Mme,CPNT,Chasse Pêche Nature Traditions,861,"   1,30","   0,75",non,03002,1.3,0.75
GAYRAUD,Martine,Mme,COM,Communiste,3274,"   4,95","   2,85",non,03002,4.95,2.85
ABELLO,Jacqueline,Mme,ECO,Ecologiste,665,"   1,01","   0,58",non,03002,1.01,0.58
DE GIRARDI,Claude,Mme,UDFD,UDF-Mouvement Démocrate,3700,"   5,59","   3,22",non,03002,5.59,3.22
CHANIAC,Marie-Lise,Mme,EXG,Extrême gauche,1682,"   2,54","   1,46",non,03002,2.54,1.46
CRAUSTE,Robert,M.,SOC,Socialiste,14592,"  22,06","  12,73",Bal.,03002,22.06,12.73
RAYNAUD,Monique,Mme,ECO,Ecologiste,374,"   0,57","   0,32",non,03002,0.57,0.32
MOURRUT,Etienne,M.,UMP,Union pour un Mouvement Populaire,31791,"  48,06","  27,73",Bal.,03002,48.06,27.73
SERVILE,Jeanine,Mme,EXD,Extrême droite,547,"   0,83","   0,47",non,03002,0.83,0.47
ROLANDEZ,Christiane,Mme,EXG,Extrême gauche,496,"   0,75","   0,43",non,03002,0.75,0.43
CLEMENT,Pierre,M.,DIV,Divers,357,"   0,54","   0,31",non,03002,0.54,0.31
DERIAN,Corinne,Mme,VEC,Les Verts,1159,"   1,75","   1,01",non,03002,1.75,1.01
DURAND,Cédric,M.,MPF,Mouvement pour la France,1165,"   1,76","   1,01",non,03002,1.76,1.01
ROUBAUD,Jean-Marc,M.,UMP,Union pour un Mouvement Populaire,33523,"  48,98","  29,40",Bal.,03003,48.98,29.4
BONNIEUX,François,M.,FN,Front national,4829,"   7,05","   4,23",non,03003,7.05,4.23
TASSIN,André,M.,DVG,Divers gauche,583,"   0,85","   0,51",non,03003,0.85,0.51
VATON,Bernard,M.,REG,Régionaliste,634,"   0,93","   0,55",non,03003,0.93,0.55
MENY,Gérard,M.,EXD,Extrême droite,463,"   0,68","   0,40",non,03003,0.68,0.4
AZAM,Josette,Mme,EXG,Extrême gauche,459,"   0,67","   0,40",non,03003,0.67,0.4
JOURLIN,Pierre,M.,EXG,Extrême gauche,1998,"   2,92","   1,75",non,03003,2.92,1.75
CHAMBON,Marianne,Mme,COM,Communiste,2489,"   3,64","   2,18",non,03003,3.64,2.18
CORDRAY,Charles Maurice,M.,DIV,Divers,626,"   0,91","   0,54",non,03003,0.91,0.54
AUDIER,Angèle,Mme,MPF,Mouvement pour la France,16,"   0,02","   0,01",non,03003,0.02,0.01
RESSAIRE,Jacques,M.,REG,Régionaliste,176,"   0,26","   0,15",non,03003,0.26,0.15
BENOIT,Christophe,M.,EXG,Extrême gauche,353,"   0,52","   0,30",non,03003,0.52,0.3
DHOYE,NICOLE,Mme,ECO,Ecologiste,977,"   1,43","   0,85",non,03003,1.43,0.85
PONCE-CASANOVA,Corinne,Mme,UDFD,UDF-Mouvement Démocrate,4094,"   5,98","   3,59",non,03003,5.98,3.59
PISSAS,Alexandre,M.,SOC,Socialiste,16268,"  23,77","  14,27",Bal.,03003,23.77,14.27
LOONIS,Yves,M.,CPNT,Chasse Pêche Nature Traditions,960,"   1,40","   0,84",non,03003,1.4,0.84
VINOT,Chantal,Mme,SOC,Socialiste,7057,"  13,21","   8,25",non,03004,13.21,8.25
VICAT,Prisca,Mme,FN,Front national,2753,"   5,15","   3,22",non,03004,5.15,3.22
MALAVIEILLE,Patrick,M.,COM,Communiste,11570,"  21,66","  13,53",Bal.,03004,21.66,13.53
ROUSTAN,Max,M.,UMP,Union pour un Mouvement Populaire,23829,"  44,62","  27,87",Bal.,03004,44.62,27.87
BOT,Elie,M.,EXG,Extrême gauche,272,"   0,51","   0,31",non,03004,0.51,0.31
LOÏS,Paula,Mme,ECO,Ecologiste,725,"   1,36","   0,84",non,03004,1.36,0.84
